Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
45,Male,USA,Sports,11.424083107377944,0,Easy,18,166,8,41,High
39,Female,Asia,RPG,3.127804921447394,0,Easy,0,133,29,23,Low
45,Male,USA,Simulation,13.337523698339428,1,Easy,0,121,20,26,Low
15,Male,USA,Action,18.064682490477143,0,Medium,5,138,61,43,Medium
35,Female,USA,Sports,21.855863172601424,1,Easy,4,105,83,49,Medium
46,Female,USA,RPG,11.585812983462883,0,Easy,5,26,43,34,Low
25,Male,Europe,Action,8.139951682358806,0,Hard,19,86,84,14,High
33,Female,Europe,Simulation,5.173043098290008,0,Easy,3,124,36,33,Medium
43,Female,Asia,Action,0.1765797125935897,0,Easy,17,97,82,49,High
42,Female,Europe,Strategy,15.014394872277762,0,Hard,10,109,71,10,Medium
31,Male,Asia,Action,6.302681136074107,0,Medium,15,39,63,18,Medium
17,Male,Europe,Sports,3.2551402829602534,0,Easy,5,163,45,4,Medium
22,Female,USA,Simulation,5.546668826023625,0,Hard,19,157,80,4,High
22,Male,Asia,RPG,14.296251842332332,0,Medium,18,81,83,44,High
23,Female,Asia,Strategy,21.95471020427849,1,Easy,5,26,47,24,Low
42,Male,Europe,Action,19.69493328839339,0,Easy,2,63,53,10,Low
47,Male,Europe,Action,11.107516127292207,0,Easy,9,150,76,7,High
28,Female,Europe,Simulation,13.965606309190878,0,Easy,13,18,5,22,Low
15,Male,USA,Simulation,8.908270104307139,0,Easy,16,83,72,9,Medium
18,Female,Europe,Simulation,15.27366579211637,0,Hard,4,125,53,14,Medium
29,Male,USA,Action,8.371926744017541,0,Easy,4,90,9,32,Medium
29,Male,Europe,Simulation,12.935531649644258,1,Easy,7,126,12,39,Medium
25,Male,Asia,RPG,17.137047975871113,0,Easy,9,13,29,41,Low
41,Female,Asia,RPG,10.036396208314637,0,Easy,12,91,88,41,Medium
21,Male,Other,RPG,3.1788468259044462,0,Hard,12,54,47,38,Medium
37,Male,Other,Action,18.309589672264444,0,Hard,17,81,21,44,Medium
16,Male,Europe,RPG,12.474534570155775,1,Easy,9,45,73,44,Medium
